,Churn
3134,0
4975,0
4094,0
2189,0
3736,0
2228,0
4881,0
2235,0
6822,1
581,1
1096,0
332,0
1908,0
2833,0
5144,0
1351,0
1323,0
1200,0
3949,0
1313,1
4106,1
5986,0
5501,0
6425,0
3610,1
7006,1
5346,0
871,0
7020,0
4260,0
2279,0
4969,0
2926,0
2037,0
1028,1
3256,0
289,1
5706,1
35,0
957,0
3645,0
271,0
2236,0
6706,0
230,0
869,0
644,0
4194,0
6375,1
2471,1
3852,0
377,1
5468,1
2238,0
1363,0
1850,0
446,1
1015,1
1728,0
4380,0
525,0
2375,0
3035,0
136,0
391,0
2672,0
4305,0
2885,0
3648,0
6271,0
6816,1
2062,0
1199,0
1447,1
1094,0
5667,0
4097,0
1246,0
4584,0
4595,0
387,0
5430,1
243,0
5903,0
2453,0
4912,1
1394,0
5186,1
773,1
2685,0
3669,0
6522,0
5731,0
4599,0
4492,0
1732,0
2192,0
1488,0
2542,0
597,0
767,0
846,0
6239,0
6456,0
1853,1
580,1
2128,0
2045,0
717,0
2440,0
1970,1
1701,1
6720,0
6909,0
6991,1
6301,0
4135,0
4364,0
444,0
646,1
1151,0
1911,0
295,0
627,0
6188,0
6864,1
5238,0
5699,0
819,0
5793,0
4959,1
3473,1
4592,0
1772,1
45,0
606,0
6776,0
7004,0
5147,0
2165,0
191,1
2947,0
2840,0
751,0
1052,0
2019,1
2995,0
2360,0
61,0
181,0
4435,0
5528,0
6123,0
3508,0
2887,1
5527,0
3261,0
5500,0
460,0
5599,1
6251,0
1138,0
255,0
283,0
5241,0
105,0
2463,0
6002,1
6187,0
5957,1
914,0
2069,1
6449,0
4326,1
2824,0
2692,0
3283,0
4757,1
1822,1
5073,0
3521,0
2933,0
4939,0
5884,1
6106,1
288,1
3655,0
2867,0
4570,0
29,1
1012,0
2039,1
1174,0
3104,0
1563,0
4973,0
6610,0
3778,0
1326,0
4544,1
5462,0
5426,0
4218,0
4611,0
5518,1
3601,0
5574,0
1869,0
3286,1
829,0
5076,1
2212,0
2576,0
6682,0
1851,1
7,0
1116,0
5490,0
6678,0
3836,0
3857,0
2911,1
2357,0
5067,0
518,1
5206,0
5371,1
5113,0
6100,1
6712,0
6292,0
2903,0
3204,0
4434,0
710,1
6794,0
1412,1
3478,0
1367,0
5848,0
2234,0
1119,0
4096,0
5191,0
2429,0
2378,1
6840,0
3198,0
1621,1
6968,1
844,1
2031,0
1753,0
6880,0
4339,0
3402,1
6235,1
1216,0
186,0
5453,0
1984,1
6875,0
4833,0
5245,0
671,0
2142,0
1925,0
5000,0
3490,1
1441,0
3337,0
6411,0
5116,1
6766,0
4111,0
1823,1
3787,0
313,0
6261,0
4876,1
175,0
4378,0
4904,0
2091,0
974,0
4731,0
6114,0
6740,1
5989,1
1248,1
5720,0
6836,1
2927,0
461,0
2577,1
376,0
1438,0
2723,0
169,0
4708,0
570,0
3849,1
5160,0
3945,1
113,1
4849,0
1527,0
5071,0
1803,0
843,0
3523,0
495,1
6409,0
6946,0
6452,0
5271,0
343,0
3235,0
1817,0
6580,0
6554,1
3772,1
1041,0
5561,0
4295,0
4469,0
4273,1
4804,0
6837,0
4615,0
2482,0
5506,0
2297,1
6596,0
2266,0
6588,0
2002,0
4085,0
2181,0
1685,0
3905,1
1590,0
5780,0
2293,0
3355,0
1057,1
2137,0
878,0
6609,1
6867,0
2098,0
4322,0
822,0
6971,1
1098,0
660,1
1619,0
6365,1
5524,0
3981,0
6842,0
5192,0
2847,0
661,0
3595,1
970,1
1327,1
4742,0
942,0
2905,0
1858,1
4978,1
2457,0
3216,1
6154,0
3964,0
6427,0
4990,0
6617,0
2115,0
4257,0
2176,0
6568,0
1456,1
2280,0
3969,0
2875,1
3140,0
6530,0
2504,1
549,0
2764,0
1395,1
3689,1
3505,0
1215,1
791,0
4328,0
601,0
2732,0
432,0
321,0
386,1
3725,1
2639,1
189,0
4287,1
5149,0
1301,0
3262,1
2808,0
4503,1
3950,1
3165,0
5074,0
6355,0
4504,0
1165,0
5315,1
5039,1
6835,0
86,0
6758,0
1734,1
1570,0
805,0
2853,0
1828,0
5680,1
6387,0
2118,0
952,0
394,0
2425,0
4541,1
2076,0
254,0
4557,0
3856,0
3133,0
890,0
2009,0
462,1
1729,0
408,1
3223,0
3306,0
2295,1
4603,0
6394,0
5486,0
5912,1
5985,0
23,0
4899,1
5258,1
4050,0
746,0
6466,0
3427,0
3636,0
2248,0
4643,0
4436,0
1686,1
3603,1
5709,0
1218,1
2346,0
1088,1
5384,0
6011,0
6371,0
1568,0
6990,0
695,0
2520,0
4084,1
2155,1
1010,0
3122,0
563,0
684,0
1664,1
960,0
7033,0
3722,0
6797,0
2598,0
733,0
2345,0
2935,0
401,0
334,1
5084,0
4510,0
1966,0
879,0
7032,1
1204,0
284,1
680,1
4805,0
3972,0
5926,0
5893,0
3563,0
5864,0
4542,0
4935,0
4349,1
4186,0
1829,0
579,0
2129,1
4551,0
3399,0
2499,0
3254,0
1265,0
4202,0
1972,0
783,1
4000,0
6995,0
550,0
1117,0
3728,0
4118,0
9,0
4406,0
5661,0
2497,0
5776,0
59,0
3245,1
2381,0
2336,1
6016,1
4037,0
6393,0
6586,0
1674,0
1150,0
2315,0
77,0
833,0
2130,1
1896,0
4850,0
2350,0
5606,0
807,0
6581,0
3892,0
3125,0
2610,1
5738,1
2043,0
5219,0
4754,0
4974,1
4499,1
6872,0
3251,1
3458,1
6729,0
2175,1
6815,0
2741,1
1976,1
5344,0
5396,0
1875,0
1536,0
3479,1
1996,0
4523,0
2060,0
6643,0
6397,0
211,0
1646,0
4997,1
2451,1
6859,0
1827,0
3864,1
2871,1
4210,0
2170,0
4561,0
2395,0
4044,0
123,0
4683,0
2178,0
494,0
3396,0
4356,0
6147,0
1020,0
56,0
3767,0
3667,0
5544,1
5264,0
6415,0
1907,0
4107,0
668,1
3537,0
2989,0
4950,1
4059,1
5883,0
4500,0
1440,0
5809,0
2901,0
3582,0
4440,0
3553,0
1726,0
2302,0
4449,0
5737,0
293,0
1192,1
1413,0
2483,1
6629,0
2207,1
5340,0
3357,1
2924,1
1561,1
399,0
4596,0
1616,0
3373,1
3016,1
1222,0
5399,0
5028,0
1715,0
2100,0
6607,1
2224,1
4464,1
464,0
66,0
6634,1
4034,0
4162,0
1578,1
6288,0
3908,0
2390,0
904,0
4597,1
3462,1
5055,0
3615,1
5433,0
3817,0
5336,0
482,0
3128,0
3654,0
2709,0
5081,0
3450,0
1632,1
6846,1
6788,0
145,0
720,0
6497,0
3720,0
4142,0
5207,1
2676,0
3179,0
663,0
5605,0
2503,0
3652,1
1542,0
6242,0
6885,1
6273,1
1585,0
371,1
4723,1
938,0
726,0
2786,0
2670,0
6265,0
2326,0
4922,0
5469,0
582,1
3707,0
6342,0
1072,0
4039,0
6287,1
6679,0
1661,0
5237,0
1528,0
6177,1
6512,0
5166,0
5973,0
691,0
3196,0
5609,1
2282,1
3085,1
5931,1
3977,0
2135,0
5437,1
5026,0
2335,0
5230,0
1564,1
4956,1
3628,0
6633,1
4976,0
5569,1
3480,0
6744,0
4528,0
6098,0
5227,0
3847,0
3360,1
4155,0
4128,1
1207,0
2394,0
5745,0
5477,0
2554,0
4370,0
2169,0
1566,0
4083,1
4091,0
6122,0
5235,0
6535,1
1365,1
3414,0
4058,1
5721,0
2737,0
3070,0
6318,0
7005,0
4865,0
6143,0
3239,0
6056,0
4035,0
63,0
4858,0
5765,1
6591,1
755,1
6220,0
3003,1
5183,1
6169,1
1183,0
2755,0
3100,0
5492,0
3776,0
2941,0
5273,0
912,0
961,0
1861,1
6286,0
2791,0
634,0
4559,0
3276,1
2622,0
5545,0
3192,0
261,1
4344,0
2923,0
6790,0
5842,0
1283,0
6378,1
1140,0
6934,0
728,1
6485,0
3749,1
2441,0
4166,0
849,0
950,1
5969,0
893,1
532,0
900,0
4829,0
542,0
1264,0
2138,0
677,1
457,0
669,0
2870,0
2430,0
2371,0
4233,0
1449,0
5424,0
5507,0
3596,1
1838,0
4738,1
523,1
5377,0
4591,0
7034,1
1408,0
3855,0
1378,0
4558,1
6218,0
2401,0
6898,0
1355,0
5921,0
4948,0
3824,0
129,0
2668,1
264,0
5300,1
1684,0
5537,0
5169,0
3183,1
3708,0
3117,0
5588,1
6923,0
6924,1
4214,1
5665,0
1340,0
1562,0
172,0
5031,0
94,0
3680,1
235,1
5200,0
292,0
4291,0
4114,0
312,0
4989,0
2079,0
6309,0
5313,0
6688,0
1900,0
772,1
5757,0
6536,0
4032,0
6915,0
692,0
1147,0
2433,0
2855,0
2619,1
3018,0
1633,0
3671,1
6933,1
5176,0
5334,1
1950,1
6932,0
6454,0
3731,0
1986,0
5845,1
501,0
6198,0
587,0
4307,1
3341,0
4104,0
4518,1
4268,0
863,1
2739,0
5630,1
3082,0
4456,0
2872,0
1307,0
6345,0
2827,0
6987,0
4707,0
2161,1
402,1
4303,0
6032,1
2049,0
5172,0
3574,0
1122,1
4480,1
1194,0
20,1
1511,0
5951,0
4896,0
3028,1
6849,0
1673,1
4432,0
2714,0
6243,0
6470,0
2308,0
5906,1
5284,1
2443,0
5645,0
6571,0
2214,1
1382,0
4972,0
3744,0
5322,0
5938,0
781,0
4351,0
6181,0
4813,0
3308,0
6395,1
5836,0
4875,1
5127,1
1270,0
5962,0
1805,0
202,0
5093,0
6665,0
6782,0
258,1
3604,0
3273,1
1813,0
636,0
3267,0
2310,0
1949,0
3088,0
2341,0
6533,0
2996,0
2958,0
6671,0
101,0
2086,1
6467,0
2839,0
4009,0
4807,0
6858,1
5079,0
5964,0
5580,0
2494,1
3050,1
2595,0
3333,0
5060,0
1506,0
4297,0
5115,0
1814,0
6226,0
4806,0
3926,0
2481,0
5408,0
1615,0
1698,0
6592,0
1924,0
6783,0
4308,0
2239,0
2806,0
5101,0
3815,1
2182,0
4011,0
3257,0
4056,1
5442,0
3790,1
6006,0
372,0
4971,0
3903,0
91,0
90,0
559,0
991,0
2674,0
3979,0
3453,0
3876,0
2580,0
2139,0
174,0
2838,0
3539,1
5623,0
3300,0
5823,0
75,0
3544,1
6498,1
1811,0
6673,0
6455,0
6280,0
3220,0
1316,0
526,0
1026,1
5141,0
1614,0
3929,0
6136,0
3838,0
4730,0
3465,0
1172,0
3180,0
6914,1
2012,1
5391,0
1839,0
3456,0
6912,0
4457,0
3607,0
1655,1
1672,0
2527,1
3148,0
5854,0
2409,0
5407,0
3084,0
2979,0
1958,0
6651,0
5770,0
7010,1
1576,0
3871,1
5600,1
6043,1
3387,0
2920,0
3145,1
1579,1
888,0
3629,0
2620,0
6437,0
5670,1
6814,0
3390,0
144,0
3915,0
5133,1
4953,0
5429,0
6085,1
1961,0
6557,0
1209,0
4329,1
70,0
1386,0
6097,0
4075,0
5608,0
4667,0
2470,0
7013,0
4845,0
4681,1
5379,0
3004,1
1421,1
1062,0
199,0
6721,0
3592,1
4902,0
337,0
4808,0
2444,1
4421,0
3397,0
4538,1
4028,0
966,1
1750,0
5555,0
617,0
5287,0
6245,0
2645,0
3875,1
2447,0
2961,0
6305,1
1872,0
2785,0
5702,1
955,1
6191,0
3517,1
2637,0
5347,0
4776,0
6670,0
6832,0
4572,0
3975,1
6205,1
5305,0
3779,1
6320,0
2862,1
3377,0
4863,0
2510,1
6385,1
6240,1
25,0
2994,0
3750,0
112,0
3398,0
6071,0
135,0
6818,0
1724,0
5584,1
2912,0
4962,0
6323,0
6917,0
5112,1
1391,0
6631,0
880,1
4113,0
2917,0
6564,0
1341,1
4867,0
2396,0
3007,1
3040,1
6004,0
2027,0
2199,0
5775,0
649,0
1808,1
4391,0
6435,0
6234,0
6327,0
6,0
2190,0
3098,1
6928,0
6351,1
2035,0
1470,0
4071,0
5403,0
2970,1
1876,0
2399,0
2547,0
7039,0
5534,0
6853,1
5171,0
3727,1
7002,0
609,1
2992,0
6295,0
1787,0
1401,1
5857,1
4191,0
2416,0
3114,0
267,0
2783,0
375,0
3045,0
4920,0
3463,0
4716,0
3748,0
4795,1
5880,1
6637,0
3989,0
6366,0
2355,0
6015,0
4157,0
3176,0
6316,0
5029,0
2422,0
6037,0
5415,0
3166,0
1054,1
3171,0
1665,0
4284,0
3136,1
4811,1
6764,1
1027,0
6863,0
2473,0
735,0
2461,0
1886,0
6935,0
2204,1
3430,0
354,1
2722,0
2197,0
5952,0
2902,0
5777,0
3880,0
923,0
5425,0
4836,0
1455,0
642,1
1295,0
4200,0
2787,0
4903,1
5628,1
6883,0
2072,0
5902,0
5788,0
5075,0
6618,0
4447,0
146,0
898,1
3305,0
2884,0
3970,0
1105,0
654,1
1591,0
5655,0
1104,0
6096,0
2277,1
2428,1
241,0
6601,0
2259,0
4714,0
5281,0
3924,1
2145,0
2803,0
2721,1
5312,1
1003,0
3314,0
1427,0
1675,1
6654,1
2564,1
2757,0
2464,1
4466,1
1354,1
1279,0
3139,1
734,0
4244,0
2028,0
3872,0
3678,0
1398,0
3388,0
4988,0
3457,0
1410,1
122,1
3643,0
2963,0
6504,1
740,0
1645,1
4458,1
5852,1
5216,1
6812,0
6359,0
6526,1
2462,0
5970,0
5538,1
6952,1
203,0
611,1
3181,0
5972,1
4773,1
5587,0
859,0
474,1
4168,0
6049,0
6806,0
324,0
976,1
5971,0
4525,0
876,1
5881,0
3503,0
33,0
5968,1
2851,0
4724,0
6426,0
1107,0
6080,1
421,0
6714,0
6760,1
5177,1
7041,1
5833,0
1658,1
3069,0
6735,0
4784,0
4496,0
5516,1
1267,0
3980,1
6506,1
5249,0
4729,0
998,0
477,0
4645,1
956,0
4165,0
2351,0
3569,0
3819,0
409,1
2929,0
3509,0
3723,0
1860,0
3201,0
1466,0
2759,0
3317,0
3721,1
473,0
1348,1
2987,0
2573,1
6388,1
330,0
6302,1
3172,1
1457,0
6478,0
2021,0
5109,0
1595,1
3827,0
2215,0
4080,0
3612,0
6185,0
1085,1
6148,0
6777,0
3895,0
5027,1
1448,0
4775,1
2226,0
151,1
6781,1
2910,0
4360,0
1766,0
4634,0
6392,0
5552,0
1937,0
3914,0
6128,0
2267,0
3865,0
6500,0
2446,1
1397,0
5782,1
1084,0
6726,1
4048,0
1103,0
739,0
4299,0
1948,1
4838,0
4043,0
1709,0
5010,0
2618,0
3691,0
1376,1
4942,1
6372,0
4587,0
6384,0
3695,0
6482,1
6960,0
5858,0
4014,0
2623,0
176,1
4507,0
5298,0
4914,0
5807,0
4309,0
2410,0
3704,0
5246,1
3491,0
2480,1
5704,0
6401,1
3380,1
3899,0
3342,0
5785,0
3625,0
270,1
2780,1
629,1
5189,0
4390,0
2046,0
508,1
4119,0
2965,1
5817,1
4347,0
412,0
5860,1
964,1
3081,1
4024,0
6919,0
1985,1
516,0
1660,0
6448,1
4752,0
3226,0
6407,0
6941,0
5398,0
392,0
2951,0
3775,1
6708,1
4694,0
490,0
5223,0
3054,0
4247,0
1539,0
2675,0
476,0
423,0
76,0
990,0
5360,1
4294,0
301,1
4609,0
5357,0
1127,0
5649,0
4622,0
6428,1
3214,0
2873,1
67,0
6786,1
5984,1
3452,0
3768,0
5450,1
3614,0
3015,0
2971,0
3375,0
3310,1
5303,0
3785,1
1991,0
6445,0
4023,0
4088,1
3966,0
555,0
3105,0
4767,0
2985,0
2860,0
1538,1
6290,1
2738,0
5853,0
6495,1
2981,0
5193,0
3635,0
6489,1
5995,0
4108,0
1736,1
2993,0
3533,0
2298,0
4549,0
655,0
2649,0
4065,1
1272,0
5163,0
3641,0
3590,0
3773,1
1288,0
4253,0
3441,0
6386,0
4782,0
114,0
877,0
6358,0
3094,0
2184,1
6225,0
5843,0
6047,0
6184,0
6036,0
4072,0
6870,0
4502,1
6979,0
6210,0
4256,0
1866,0
2771,0
4703,1
5485,0
3919,1
1626,0
688,0
36,1
4357,0
1358,0
3058,1
1727,0
2939,1
6595,0
6324,0
2150,0
742,1
7031,0
4206,0
3027,0
2487,0
1845,0
3294,1
3526,1
4446,1
3315,0
3531,0
6007,0
2748,1
367,0
3210,0
925,0
3845,1
1611,0
2528,1
6215,1
1102,1
4659,0
2217,0
4868,1
4226,1
2907,1
2617,1
5585,1
342,0
4343,1
1123,0
2509,0
4843,0
3236,0
6626,1
4396,1
4777,0
2909,0
2030,0
78,0
3203,0
2775,1
693,1
450,0
6793,0
3639,0
5155,0
1702,1
4057,0
5543,0
4574,0
2725,0
4882,0
2735,0
1195,0
2519,0
5385,1
591,0
3952,0
1415,0
908,0
4638,1
5441,1
3781,0
1171,1
6203,0
2455,1
3423,1
1692,0
4837,1
1308,1
2540,0
6082,1
6970,1
160,0
1166,0
2358,0
4015,0
1444,0
1529,0
4553,0
3640,1
2857,0
6751,0
626,0
2321,0
2954,1
3051,0
1318,0
5068,0
5154,1
2570,1
47,1
4743,0
1928,1
247,1
993,0
3712,0
3993,0
1411,0
614,0
4929,0
6926,1
4916,0
2496,0
6676,0
2097,0
3151,0
1719,0
492,1
1217,0
5729,0
2669,1
6298,0
6570,0
3115,1
3103,1
491,0
4623,0
4641,0
1393,0
841,0
3222,0
4726,0
2450,0
3716,1
5999,0
5036,1
6911,0
1005,0
441,0
845,0
6488,1
6930,1
5692,0
2312,0
4562,0
4070,0
2195,0
2252,0
1696,1
594,0
536,0
6563,1
4815,1
2745,1
3660,0
3049,1
5748,0
5813,0
4137,0
2999,0
5221,0
3002,0
1253,1
6831,1
5922,0
2978,0
924,0
6747,0
3743,1
6959,0
3948,0
1953,1
6115,0
5329,1
6532,0
2631,1
4235,0
6597,1
4373,0
382,0
5646,1
3013,0
1630,0
2530,0
2088,0
2652,0
4735,0
1712,0
4960,1
958,0
4092,0
5967,1
831,0
3124,0
1211,1
3225,0
865,1
3570,0
1249,1
6389,0
5129,0
1873,0
4374,0
6088,1
3374,1
3110,0
3690,1
5916,0
2251,0
810,1
4437,0
5302,0
595,1
1241,0
3554,0
6317,1
6067,0
569,0
5098,1
2131,0
4885,0
1113,1
2566,0
1745,0
369,0
4612,0
34,0
2256,0
6174,1
6896,1
1605,0
378,0
1189,0
6380,0
528,0
6993,1
3209,1
5050,1
1380,0
1864,0
6650,0
4262,1
5771,0
6567,0
2899,0
214,0
6040,1
909,0
5783,1
4275,0
3243,0
5198,1
351,0
41,0
2344,0
6652,0
6668,0
6843,1
335,1
2659,0
1517,0
2742,0
2644,1
3213,0
5179,1
6073,0
1357,0
142,0
4252,0
4537,0
1298,0
3670,0
1569,0
5875,0
3589,0
5170,0
2040,0
5837,0
5741,1
6022,0
3646,0
2492,1
5489,0
765,0
6163,0
6620,1
3174,0
3005,0
4737,0
68,0
4198,0
4763,0
481,1
3150,0
4286,0
2303,1
4485,0
5933,1
2832,0
4158,0
2013,0
405,0
4452,0
306,1
3346,0
5356,0
2501,0
2328,0
3995,1
6732,0
4387,0
153,0
2081,0
1951,0
3714,0
5576,1
4423,0
2109,0
4740,1
4129,0
3481,0
3470,0
5132,0
5746,1
4955,1
4786,0
2746,0
1722,0
3994,1
718,0
2156,1
1263,1
2205,0
185,1
694,0
1929,0
5635,0
422,0
4045,1
4846,0
2004,1
2820,0
5582,0
4824,0
4664,1
6902,0
5625,0
6685,0
223,1
2146,0
3391,0
3309,0
2756,1
1259,1
5724,1
17,0
4684,1
2612,0
5654,0
1525,0
2388,0
6689,0
1190,0
6353,0
1704,1
2894,1
4418,1
6975,0
6997,0
4644,0
1717,0
2452,1
7024,0
3904,0
2517,1
150,0
4790,0
4918,0
273,0
3842,0
5397,1
2167,1
5090,1
4038,0
3187,0
3368,0
1995,1
6539,0
2707,1
598,0
3863,0
2594,0
5376,0
1134,0
2731,0
3242,0
2539,0
3331,0
4679,0
3253,0
3497,0
5975,1
4250,0
3366,0
6907,1
2983,0
3184,0
3215,0
6999,1
6050,0
4963,0
1224,1
967,0
3159,0
5412,0
5754,0
5018,0
5660,0
2701,0
2673,1
5871,1
1748,0
4547,0
4759,1
4579,0
54,0
4008,0
5907,0
5148,0
228,0
1338,1
971,0
5086,1
3706,0
886,0
2418,0
3584,0
5503,0
2216,0
4711,0
1432,0
103,0
5637,0
5814,0
1114,0
4067,0
5547,1
1018,0
1420,0
3506,0
4001,0
1831,0
6544,1
2257,0
1765,0
6697,0
2936,0
6755,0
918,0
6553,0
5296,0
5774,0
2419,0
5976,0
2456,0
5717,0
5037,1
3846,0
6659,0
3221,0
5222,0
3757,0
1300,0
2863,0
1229,0
6149,0
4839,1
1721,1
1221,0
152,0
670,0
2661,0
4320,0
921,0
2048,1
6830,0
4926,0
4747,0
6369,0
901,1
6736,0
1132,1
3161,0
1163,1
79,0
2606,0
2977,0
140,0
3870,0
6642,0
589,0
6825,0
4772,0
6696,0
4632,1
5797,0
4522,0
4220,0
836,0
5683,1
5285,0
6070,0
3023,0
3962,1
6131,1
6195,1
3455,1
497,0
4205,0
4033,0
3579,0
820,0
6446,0
899,0
4404,0
5632,0
5438,1
2316,0
4821,0
3558,0
1250,0
4345,0
192,0
5802,0
3126,0
3199,0
650,1
2744,0
2386,0
5375,1
1720,0
2535,0
4181,0
824,0
3158,1
5162,0
2630,0
1671,0
4163,0
3752,0
4582,0
4470,0
1330,0
5997,0
4802,0
4338,0
469,1
1912,0
4678,1
4768,0
1888,0
5017,0
303,0
3751,0
722,1
2521,1
675,0
5815,1
3307,0
1360,1
4600,0
5759,1
4797,0
3499,1
6743,0
5541,1
6289,1
3464,0
5577,0
5197,0
5828,0
1555,1
4693,0
161,1
55,1
953,0
4462,1
3663,0
3887,1
1550,0
3079,1
2766,0
5420,0
545,0
2010,1
3335,0
2816,0
31,0
6545,1
6871,0
6811,1
3106,0
1625,1
300,0
1597,0
3191,0
5719,0
299,1
5697,1
4932,0
1714,0
6233,0
5604,0
5165,1
3021,0
4311,1
2230,0
1852,1
3941,0
3405,0
4874,1
2943,0
1159,1
1649,0
5663,0
3650,0
428,0
5117,0
3195,0
3576,0
4546,1
4940,0
4979,0
1350,0
3408,1
111,0
2026,0
5747,0
1269,0
6263,0
716,0
2886,0
418,1
3666,1
6722,0
3000,1
5125,1
7011,1
4869,0
1534,0
2699,0
1236,1
4093,0
1462,0
274,1
1324,1
357,0
333,1
6890,0
2650,0
6953,1
6578,0
2662,1
4524,1
1935,0
2829,1
5382,0
1824,0
5914,0
1453,0
2044,0
510,0
4258,1
681,0
171,1
1405,1
1737,0
1854,1
6146,1
348,0
4478,0
5419,0
5620,0
427,0
2177,0
3411,1
6704,0
5064,1
2736,0
4877,0
5343,0
6453,1
3530,0
3693,0
5533,0
3112,0
941,0
3840,0
389,0
6905,0
221,0
442,0
3618,0
5554,0
2813,0
6868,1
4589,0
4860,0
4463,1
3795,0
58,0
5358,0
5517,0
262,0
5003,1
6419,0
212,0
125,0
4617,0
5961,0
3897,0
4317,0
6436,0
167,0
672,1
2720,1
3327,0
6901,0
4335,0
10,0
6053,0
5323,0
4315,1
6417,1
291,0
4358,0
3644,0
2075,0
7016,0
4002,0
3444,0
5153,0
2969,0
6072,0
2249,0
6068,1
4013,0
1503,0
870,0
1379,0
7008,1
4150,0
117,1
1388,0
1334,1
3363,0
2283,1
1846,0
2054,1
5819,0
1520,0
51,1
472,0
6090,0
2107,0
4866,0
6086,0
782,0
1231,0
1273,0
3719,0
2324,1
1856,1
5567,0
6576,0
1145,0
3044,1
883,0
6109,0
2729,1
6093,0
5475,1
3073,0
5413,0
776,0
6731,0
635,1
3794,0
2681,0
4454,0
3445,0
4924,1
2590,0
4442,1
1903,0
5096,0
1299,1
6865,0
2244,1
5252,0
2397,1
1407,0
3682,1
286,0
2042,0
5431,0
1841,0
5662,1
3944,0
4195,0
5987,0
4486,0
1065,1
3487,0
1509,1
5767,0
5034,0
4855,0
6675,0
2051,0
5558,0
2788,0
3173,0
6502,0
338,0
3278,0
315,0
3434,0
383,1
1261,0
1594,0
3891,0
6627,0
815,0
4382,0
857,1
5994,1
5137,0
2127,1
6247,0
6229,0
4674,0
6213,0
219,0
4036,0
5038,0
4306,0
2353,0
5021,0
3550,1
3025,0
769,0
5594,0
5082,0
6222,0
329,0
6159,0
5610,1
5272,1
2368,0
287,1
6170,0
4511,0
5761,0
1473,1
3328,0
1922,0
1881,0
507,1
1973,0
5750,1
2647,0
2975,0
727,0
5647,0
585,1
1496,0
2874,0
4439,0
2038,1
2624,0
5366,0
6276,0
3953,1
1894,0
1139,0
4568,0
3792,1
5234,0
3087,1
345,0
368,0
732,0
3068,0
84,0
5846,0
5065,0
6367,0
3055,1
1044,0
1930,0
2694,0
5728,1
6483,0
5949,0
1944,1
1474,0
5570,0
6300,0
6759,0
837,1
4497,0
429,0
198,0
736,0
5416,0
5913,0
1901,0
6322,1
3830,1
4240,1
5370,0
2032,1
3632,0
6398,1
5693,0
4498,0
5640,1
28,0
6046,0
4254,1
997,1
4269,1
2332,0
2362,0
4560,0
443,0
5461,0
623,0
4005,1
4336,0
6702,0
6451,0
3067,1
4238,0
4893,1
4512,0
1245,0
407,0
6054,1
4190,1
910,1
5801,0
6057,0
1987,1
4174,1
463,1
1060,0
5514,0
712,0
4261,0
4722,0
1292,0
809,1
4362,0
6565,0
949,0
6029,0
800,0
1760,0
4426,0
